Disease,Description,Precautions,Medications,Diet,Workout
Malaria,Malaria_is_a_mosquito-borne_infectious_disease_affecting_humans_and_other_animals.,"Consult_nearest_hospital,_avoid_oily_food,_avoid_non_veg_food,_keep_mosquitos_out","Antimalarial_drugs',_'Antipyretics',_'Antiemetic_drugs',_'IV_fluids',_'Blood_transfusions'","Malaria_Diet',_'Hydration',_'High-Calorie_Diet',_'Soft_and_bland_foods',_'Oral_rehydration_solutions'","Stay_hydrated,_Consume_nutrient-rich_foods,_Include_protein-rich_foods,_Consume_foods_rich_in_antioxidants,_Limit_fatty_and_greasy_foods,_Avoid_alcohol_and_caffeine,_Include_vitamin_C-rich_foods,_Consult_a_healthcare_professional,_Rest_and_conserve_energy,_Gradually_resume_normal_diet"
Psoriasis,"Psoriasis_is_a_chronic_skin_condition_characterized_by_red,_itchy,_and_scaly_patches.","wash_hands_with_warm_soapy_water,_stop_bleeding_using_pressure,_consult_doctor,_salt_baths","Topical_treatments',_'Phototherapy',_'Systemic_medications',_'Biologics',_'Coal_tar'","Psoriasis_Diet',_'Anti-Inflammatory_Diet',_'Omega-3-rich_foods',_'Fruits_and_vegetables',_'Whole_grains'","Consume_anti-inflammatory_foods,_Include_omega-3_fatty_acids,_Include_vitamin_D_analogues,_Limit_alcohol_consumption,_Stay_hydrated,_Consult_a_healthcare_professional,_Limit_processed_foods,_Follow_medical_recommendations,_Manage_stress,_Consider_phototherapy_under_medical_guidance"
Gastroenteritis,"Gastroenteritis_is_an_inflammation_of_the_stomach_and_intestines,_typically_caused_by_a_virus_or_bacteria.","stop_eating_solid_food_for_while,_try_taking_small_sips_of_water,_rest,_ease_back_into_eating","Antibiotics',_'Antiemetic_drugs',_'Antidiarrheal_drugs',_'IV_fluids',_'Probiotics'","Bland_Diet',_'Bananas',_'Rice',_'Applesauce',_'Toast'","Stay_hydrated,_Consume_clear_fluids,_Follow_the_BRAT_diet_(bananas,_rice,_applesauce,_toast),_Include_bland_foods,_Avoid_fatty_and_greasy_foods,_Limit_caffeine_and_alcohol,_Avoid_spicy_foods,_Consult_a_healthcare_professional,_Gradually_reintroduce_solid_foods,_Avoid_dairy_products"
GERD,GERD_(Gastroesophageal_Reflux_Disease)_is_a_digestive_disorder_that_affects_the_lower_esophageal_sphincter.,"avoid_fatty_spicy_food,_avoid_lying_down_after_eating,_maintain_healthy_weight,_exercise","Proton_Pump_Inhibitors_(PPIs)',_'H2_Blockers',_'Antacids',_'Prokinetics',_'Antibiotics'","Low-Acid_Diet',_'Fiber-rich_foods',_'Ginger',_'Licorice',_'Aloe_vera_juice'","Consume_smaller_meals,_Avoid_trigger_foods_(spicy,_fatty),_Eat_high-fiber_foods,_Limit_caffeine_and_alcohol,_Chew_food_thoroughly,_Avoid_late-night_eating,_Consume_non-citrus_fruits,_Include_lean_proteins,_Stay_hydrated,_Avoid_carbonated_beverages"
Cervical_spondylosis,Cervical_spondylosis_is_a_degenerative_condition_of_the_cervical_spine.,"use_heating_pad_or_cold_pack,_exercise,_take_otc_pain_reliver,_consult_doctor","Pain_relievers',_'Muscle_relaxants',_'Physical_therapy',_'Neck_braces',_'Corticosteroids'","Arthritis_Diet',_'Anti-Inflammatory_Diet',_'Omega-3-rich_foods',_'Fruits_and_vegetables',_'Whole_grains'","Include_anti-inflammatory_foods,_Consume_omega-3_fatty_acids,_Include_vitamin_D-rich_foods,_Stay_hydrated,_Consume_antioxidant-rich_foods,_Limit_processed_foods,_Include_lean_proteins,_Practice_good_posture,_Consult_a_healthcare_professional,_Engage_in_regular_exercise"
Typhoid,Typhoid_is_a_bacterial_infection_that_can_lead_to_a_high_fever_and_gastrointestinal_symptoms.,"eat_high_calorie_vegitables,_antiboitic_therapy,_consult_doctor,_medication","Vaccination',_'Antiviral_drugs',_'IV_fluids',_'Blood_transfusions',_'Liver_transplant'","Typhoid_Diet',_'High-Calorie_Diet',_'Soft_and_bland_foods',_'Hydration',_'Protein-rich_foods'","Consume_easily_digestible_foods,_Stay_hydrated,_Include_nutrient-rich_foods,_Consume_foods_rich_in_vitamin_C_and_antioxidants,_Include_protein-rich_foods,_Avoid_fatty_and_greasy_foods,_Consult_a_healthcare_professional,_Gradually_resume_normal_diet,_Follow_medical_recommendations,_Avoid_alcohol_and_caffeine"
Paralysis_(brain_hemorrhage),Paralysis_(brain_hemorrhage)_refers_to_the_loss_of_muscle_function_due_to_bleeding_in_the_brain.,"massage,_eat_healthy,_exercise,_consult_doctor","Blood_thinners',_'Clot-dissolving_medications',_'Anticonvulsants',_'Physical_therapy',_'Occupational_therapy'","Heart-Healthy_Diet',_'Low-sodium_foods',_'Fruits_and_vegetables',_'Whole_grains',_'Lean_proteins'","Follow_a_balanced_and_nutritious_diet,_Include_lean_proteins,_Consume_nutrient-rich_foods,_Stay_hydrated,_Include_healthy_fats,_Limit_sugary_foods_and_beverages,_Include_antioxidants,_Consume_foods_rich_in_vitamin_K,_Consult_a_healthcare_professional,_Manage_stress"
Common_Cold,Common_Cold_is_a_viral_infection_of_the_upper_respiratory_tract.,"drink_vitamin_c_rich_drinks,_take_vapour,_avoid_cold_food,_keep_fever_in_check","Antibiotics',_'Antiviral_drugs',_'Antifungal_drugs',_'IV_fluids',_'Oxygen_therapy'","Cold_Diet',_'Hydration',_'Warm_fluids',_'Rest',_'Honey_and_lemon_tea'","Stay_hydrated,_Include_nutrient-rich_foods,_Consume_foods_rich_in_vitamin_C_and_antioxidants,_Include_zinc-rich_foods,_Limit_sugary_foods_and_beverages,_Consume_chicken_soup,_Consult_a_healthcare_professional,_Rest_and_conserve_energy,_Gradually_resume_normal_diet,_Follow_medical_recommendations"
Tuberculosis,Tuberculosis_is_a_bacterial_infection_that_primarily_affects_the_lungs.,"cover_mouth,_consult_doctor,_medication,_rest","Antipyretics',_'Decongestants',_'Cough_suppressants',_'Antihistamines',_'Pain_relievers'","TB_Diet',_'High-Calorie_Diet',_'Soft_and_bland_foods',_'Hydration',_'Protein-rich_foods'","Consume_a_high-protein_diet,_Include_nutrient-rich_foods,_Stay_hydrated,_Consume_foods_rich_in_vitamins_A_and_C,_Include_zinc-rich_foods,_Limit_sugary_foods_and_beverages,_Consult_a_healthcare_professional,_Rest_and_conserve_energy,_Gradually_resume_normal_diet,_Follow_medical_recommendations"
,,,,,
AIDS,AIDS_(Acquired_Immunodeficiency_Syndrome)_is_a_disease_caused_by_HIV_that_weakens_the_immune_system.,"avoid_open_cuts,_wear_ppe_if_possible,_consult_doctor,_follow_up","Antiretroviral_drugs',_'Protease_inhibitors',_'Integrase_inhibitors',_'Entry_inhibitors',_'Fusion_inhibitors'","Balanced_Diet',_'Protein-rich_foods',_'Fruits_and_vegetables',_'Whole_grains',_'Healthy_fats'","Follow_a_balanced_and_nutritious_diet,_Include_lean_proteins,_Consume_nutrient-rich_foods,_Stay_hydrated,_Include_healthy_fats,_Avoid_raw_or_undercooked_foods,_Limit_sugary_foods_and_beverages,_Consume_immune-boosting_foods,_Take_prescribed_supplements,_Consult_a_healthcare_professional"
,,,,,
Cervical_spondylosis,Cervical_spondylosis_is_a_degenerative_condition_of_the_cervical_spine.,"use_heating_pad_or_cold_pack,_exercise,_take_otc_pain_reliver,_consult_doctor","Pain_relievers',_'Muscle_relaxants',_'Physical_therapy',_'Neck_braces',_'Corticosteroids'","Arthritis_Diet',_'Anti-Inflammatory_Diet',_'Omega-3-rich_foods',_'Fruits_and_vegetables',_'Whole_grains'","Include_anti-inflammatory_foods,_Consume_omega-3_fatty_acids,_Include_vitamin_D-rich_foods,_Stay_hydrated,_Consume_antioxidant-rich_foods,_Limit_processed_foods,_Include_lean_proteins,_Practice_good_posture,_Consult_a_healthcare_professional,_Engage_in_regular_exercise"
,,,,,
Hypoglycemia,Hypoglycemia_is_a_condition_characterized_by_abnormally_low_blood_sugar_levels.,"lie_down_on_side,_check_in_pulse,_drink_sugary_drinks,_consult_doctor","Pain_relievers',_'Exercise',_'Hot_and_cold_packs',_'Joint_protection',_'Physical_therapy'","Hypoglycemia_Diet',_'Complex_carbohydrates',_'Protein-rich_snacks',_'Fiber-rich_foods',_'Healthy_fats'","Consume_complex_carbohydrates,_Include_protein-rich_foods,_Stay_hydrated,_Limit_sugary_foods_and_beverages,_Consume_regular_meals_and_snacks,_Consult_a_healthcare_professional,_Monitor_blood_sugar_levels,_Follow_medical_recommendations,_Engage_in_regular_physical_activity,_Limit_alcohol_intake"
Fungal_infection,Fungal_infection_is_a_common_skin_condition_caused_by_fungi.,"bath_twice,_use_detol_or_neem_in_bathing_water,_keep_infected_area_dry,_use_clean_cloths","Antifungal_Cream',_'Fluconazole',_'Terbinafine',_'Clotrimazole',_'Ketoconazole'","Antifungal_Diet',_'Probiotics',_'Garlic',_'Coconut_oil',_'Turmeric'","Avoid_sugary_foods,_Consume_probiotics,_Increase_intake_of_garlic,_Include_yogurt_in_diet,_Limit_processed_foods,_Stay_hydrated,_Consume_green_tea,_Eat_foods_rich_in_zinc,_Include_turmeric_in_diet,_Eat_fruits_and_vegetables"
Fungal_infection,Fungal_infection_is_a_common_skin_condition_caused_by_fungi.,"bath_twice,_use_detol_or_neem_in_bathing_water,_keep_infected_area_dry,_use_clean_cloths","Antifungal_Cream',_'Fluconazole',_'Terbinafine',_'Clotrimazole',_'Ketoconazole'","Antifungal_Diet',_'Probiotics',_'Garlic',_'Coconut_oil',_'Turmeric'","Avoid_sugary_foods,_Consume_probiotics,_Increase_intake_of_garlic,_Include_yogurt_in_diet,_Limit_processed_foods,_Stay_hydrated,_Consume_green_tea,_Eat_foods_rich_in_zinc,_Include_turmeric_in_diet,_Eat_fruits_and_vegetables"
Pneumonia,Pneumonia_is_an_inflammatory_condition_affecting_the_air_sacs_in_the_lungs.,"consult_doctor,_medication,_rest,_follow_up","Laxatives',_'Pain_relievers',_'Warm_baths',_'Cold_compresses',_'High-fiber_diet'","Pneumonia_Diet',_'High-Calorie_Diet',_'Soft_and_bland_foods',_'Hydration',_'Protein-rich_foods'","Stay_hydrated,_Include_nutrient-rich_foods,_Consume_foods_rich_in_vitamin_C_and_antioxidants,_Include_zinc-rich_foods,_Limit_sugary_foods_and_beverages,_Consume_chicken_soup,_Consult_a_healthcare_professional,_Rest_and_conserve_energy,_Gradually_resume_normal_diet,_Follow_medical_recommendations"
Hepatitis_B,Hepatitis_B_is_a_viral_infection_that_attacks_the_liver.,"consult_nearest_hospital,_vaccination,_eat_healthy,_medication","Antiviral_drugs',_'IV_fluids',_'Blood_transfusions',_'Platelet_transfusions',_'Liver_transplant'","Hepatitis_B_Diet',_'High-Calorie_Diet',_'Soft_and_bland_foods',_'Hydration',_'Protein-rich_foods'","Follow_a_balanced_and_nutritious_diet,_Stay_hydrated,_Include_protein-rich_foods,_Consume_nutrient-rich_foods,_Limit_fatty_foods,_Avoid_alcohol_and_caffeine,_Include_vitamin_C-rich_foods,_Consult_a_healthcare_professional,_Rest_and_conserve_energy,_Gradually_resume_normal_diet"
,,,,,
Osteoarthritis,Osteoarthritis_is_a_degenerative_joint_disease_that_affects_the_cartilage_in_joints.,"acetaminophen,_consult_nearest_hospital,_follow_up,_salt_baths","NSAIDs',_'Disease-modifying_antirheumatic_drugs_(DMARDs)',_'Biologics',_'Corticosteroids',_'Joint_replacement_surgery'","Arthritis_Diet',_'Anti-Inflammatory_Diet',_'Omega-3-rich_foods',_'Fruits_and_vegetables',_'Whole_grains'","Consume_anti-inflammatory_foods,_Include_omega-3_fatty_acids,_Consume_antioxidant-rich_foods,_Stay_hydrated,_Limit_processed_foods,_Include_vitamin_K-rich_foods,_Consult_a_healthcare_professional,_Follow_medical_recommendations,_Engage_in_low-impact_exercise,_Maintain_a_healthy_weight"
Malaria,Malaria_is_a_mosquito-borne_infectious_disease_affecting_humans_and_other_animals.,"Consult_nearest_hospital,_avoid_oily_food,_avoid_non_veg_food,_keep_mosquitos_out","Antimalarial_drugs',_'Antipyretics',_'Antiemetic_drugs',_'IV_fluids',_'Blood_transfusions'","Malaria_Diet',_'Hydration',_'High-Calorie_Diet',_'Soft_and_bland_foods',_'Oral_rehydration_solutions'","Stay_hydrated,_Consume_nutrient-rich_foods,_Include_protein-rich_foods,_Consume_foods_rich_in_antioxidants,_Limit_fatty_and_greasy_foods,_Avoid_alcohol_and_caffeine,_Include_vitamin_C-rich_foods,_Consult_a_healthcare_professional,_Rest_and_conserve_energy,_Gradually_resume_normal_diet"
Chronic_cholestasis,Chronic_cholestasis_is_a_condition_where_bile_flow_from_the_liver_is_reduced_for_a_prolonged_period.,"cold_baths,_anti_itch_medicine,_consult_doctor,_eat_healthy","Ursodeoxycholic_acid',_'Cholestyramine',_'Methotrexate',_'Corticosteroids',_'Liver_transplant'","Low-Fat_Diet',_'High-Fiber_Diet',_'Lean_proteins',_'Whole_grains',_'Fresh_fruits_and_vegetables'","Consume_a_low-fat_diet,_Eat_high-fiber_foods,_Include_healthy_fats,_Limit_alcohol_consumption,_Stay_hydrated,_Consume_antioxidant-rich_foods,_Include_omega-3_fatty_acids,_Include_lean_proteins,_Limit_processed_foods,_Avoid_fried_foods"
Jaundice,"Jaundice_is_a_yellow_discoloration_of_the_skin_and_eyes,_often_indicating_liver_problems.","drink_plenty_of_water,_consume_milk_thistle,_eat_fruits_and_high_fiberous_food,_medication","IV_fluids',_'Blood_transfusions',_'Liver_transplant',_'Medications_for_itching',_'Antiviral_medications'","Liver-Healthy_Diet',_'Low-fat_Diet',_'Fruits_and_vegetables',_'Whole_grains',_'Lean_proteins'","Stay_hydrated,_Consume_nutrient-rich_foods,_Include_protein-rich_foods,_Consume_easily_digestible_foods,_Limit_fatty_foods,_Avoid_alcohol_and_caffeine,_Include_vitamin_C-rich_foods,_Consult_a_healthcare_professional,_Rest_and_conserve_energy,_Gradually_resume_normal_diet"
Dengue,Dengue_is_a_mosquito-borne_viral_infection_causing_flu-like_symptoms.,"drink_papaya_leaf_juice,_avoid_fatty_spicy_food,_keep_mosquitos_away,_keep_hydrated","Antibiotics',_'Antipyretics',_'Analgesics',_'IV_fluids',_'Corticosteroids'","Dengue_Diet',_'Hydration',_'High-Calorie_Diet',_'Soft_and_bland_foods',_'Protein-rich_foods'","Stay_hydrated,_Include_nutrient-rich_foods,_Consume_foods_rich_in_vitamin_C_and_antioxidants,_Limit_fatty_and_greasy_foods,_Avoid_caffeine_and_alcohol,_Include_soft_and_easily_digestible_foods,_Consult_a_healthcare_professional,_Rest_and_conserve_energy,_Gradually_resume_normal_diet,_Follow_medical_recommendations"
Jaundice,"Jaundice_is_a_yellow_discoloration_of_the_skin_and_eyes,_often_indicating_liver_problems.","drink_plenty_of_water,_consume_milk_thistle,_eat_fruits_and_high_fiberous_food,_medication","IV_fluids',_'Blood_transfusions',_'Liver_transplant',_'Medications_for_itching',_'Antiviral_medications'","Liver-Healthy_Diet',_'Low-fat_Diet',_'Fruits_and_vegetables',_'Whole_grains',_'Lean_proteins'","Stay_hydrated,_Consume_nutrient-rich_foods,_Include_protein-rich_foods,_Consume_easily_digestible_foods,_Limit_fatty_foods,_Avoid_alcohol_and_caffeine,_Include_vitamin_C-rich_foods,_Consult_a_healthcare_professional,_Rest_and_conserve_energy,_Gradually_resume_normal_diet"
(vertigo)_Paroxysmal_Positional_Vertigo,(Vertigo)_Paroxysmal_Positional_Vertigo_is_a_type_of_dizziness_caused_by_specific_head_movements.,"lie_down,_avoid_sudden_change_in_body,_avoid_abrupt_head_movment,_relax","Topical_treatments',_'Antibiotics',_'Oral_medications',_'Hormonal_treatments',_'Isotretinoin'","Vertigo_Diet',_'Low-Salt_Diet',_'Hydration',_'Ginger_tea',_'Vitamin_D-rich_foods'","Avoid_trigger_foods_(caffeine,_alcohol),_Limit_sodium_intake,_Stay_hydrated,_Consume_ginger_and_ginkgo_biloba,_Limit_artificial_sweeteners,_Consult_a_healthcare_professional,_Avoid_sudden_head_movements,_Follow_medical_recommendations,_Manage_stress,_Limit_caffeine_and_stimulants"
GERD,GERD_(Gastroesophageal_Reflux_Disease)_is_a_digestive_disorder_that_affects_the_lower_esophageal_sphincter.,"avoid_fatty_spicy_food,_avoid_lying_down_after_eating,_maintain_healthy_weight,_exercise","Proton_Pump_Inhibitors_(PPIs)',_'H2_Blockers',_'Antacids',_'Prokinetics',_'Antibiotics'","Low-Acid_Diet',_'Fiber-rich_foods',_'Ginger',_'Licorice',_'Aloe_vera_juice'","Consume_smaller_meals,_Avoid_trigger_foods_(spicy,_fatty),_Eat_high-fiber_foods,_Limit_caffeine_and_alcohol,_Chew_food_thoroughly,_Avoid_late-night_eating,_Consume_non-citrus_fruits,_Include_lean_proteins,_Stay_hydrated,_Avoid_carbonated_beverages"
Hepatitis_D,Hepatitis_D_is_a_serious_liver_disease_caused_by_the_hepatitis_D_virus.,"consult_doctor,_medication,_eat_healthy,_follow_up","Antiviral_drugs',_'IV_fluids',_'Blood_transfusions',_'Platelet_transfusions',_'Liver_transplant'","Hepatitis_D_Diet',_'High-Calorie_Diet',_'Soft_and_bland_foods',_'Hydration',_'Protein-rich_foods'","Follow_a_balanced_and_nutritious_diet,_Stay_hydrated,_Include_protein-rich_foods,_Consume_nutrient-rich_foods,_Limit_fatty_foods,_Avoid_alcohol_and_caffeine,_Include_vitamin_C-rich_foods,_Consult_a_healthcare_professional,_Rest_and_conserve_energy,_Gradually_resume_normal_diet"
Bronchial_Asthma,Bronchial_Asthma_is_a_respiratory_condition_characterized_by_inflammation_of_the_airways.,"switch_to_loose_cloothing,_take_deep_breaths,_get_away_from_trigger,_seek_help","Bronchodilators',_'Inhaled_corticosteroids',_'Leukotriene_modifiers',_'Mast_cell_stabilizers',_'Anticholinergics'","Anti-Inflammatory_Diet',_'Omega-3-rich_foods',_'Fruits_and_vegetables',_'Whole_grains',_'Lean_proteins'","Include_anti-inflammatory_foods,_Consume_omega-3_fatty_acids,_Limit_sodium_intake,_Stay_hydrated,_Include_antioxidant-rich_foods,_Avoid_sulfite-containing_foods,_Limit_processed_foods,_Consume_magnesium-rich_foods,_Consult_a_healthcare_professional,_Avoid_trigger_foods"
